SZA\Ozone_column_DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	425DU	450DU	475DU	500DU	
6.900000000000000000e+01	2.365651995883268077e-03	2.335153563285266923e-03	2.307045208719629443e-03	2.280612053494643614e-03	2.256502238338513495e-03	2.233291349046568654e-03	2.212172742976918800e-03	2.191744074674450461e-03	2.171911744170299929e-03	2.153530886184933015e-03	2.136003082756220313e-03	2.118830075961457542e-03	2.102409623215104051e-03
6.800000000000000000e+01	2.505078140990136225e-03	2.473179009858018310e-03	2.443828511423695813e-03	2.416440087351130403e-03	2.390992117605794231e-03	2.367011648204051227e-03	2.344082714879824111e-03	2.322996720259211563e-03	2.302644933369523556e-03	2.283039779892069056e-03	2.264678165398796225e-03	2.246640227593289969e-03	2.229660786825928259e-03
6.700000000000000000e+01	2.645875585550202299e-03	2.612755442995638461e-03	2.581747102475812246e-03	2.553094456063948869e-03	2.526469124922124665e-03	2.501445693842154015e-03	2.477998268403182412e-03	2.455434594258129946e-03	2.434159689459760960e-03	2.413532048160096921e-03	2.394430896707777385e-03	2.375859243594428613e-03	2.358037393174496760e-03
6.600000000000000000e+01	2.787612758678729291e-03	2.752728036934035984e-03	2.720645478036779700e-03	2.691175229424599621e-03	2.663040836815561054e-03	2.636621590980378366e-03	2.612011005692046681e-03	2.588929651495615498e-03	2.566652560736324990e-03	2.545617140061408670e-03	2.525166962058651623e-03	2.505580530506864873e-03	2.487105585852195187e-03
6.500000000000000000e+01	2.930261837131089252e-03	2.893960555927998189e-03	2.860344728245838540e-03	2.829265064413910916e-03	2.800360651803943720e-03	2.773178156875211881e-03	2.747388018607752839e-03	2.723017820839636598e-03	2.699882528981811716e-03	2.678105022091233859e-03	2.656977290422015033e-03	2.636650458633880371e-03	2.617002999232146028e-03
6.400000000000000000e+01	3.073298701185298541e-03	3.035659749672794342e-03	3.000844144287129027e-03	2.968447719454966448e-03	2.938450966611655304e-03	2.910275000366186176e-03	2.883500073558229165e-03	2.858084422612044637e-03	2.834119683367056913e-03	2.811140233411415796e-03	2.789164150543653291e-03	2.768255863536759308e-03	2.748005466026142134e-03
6.300000000000000000e+01	3.217148842057461055e-03	3.178023688351360593e-03	3.141916954612521649e-03	3.108474989056357607e-03	3.077068710796159422e-03	3.047763832421135702e-03	3.020153862981446100e-03	2.993920933722853551e-03	2.968806288379004319e-03	2.945161025537932405e-03	2.922521555461219962e-03	2.900599826145867227e-03	2.879658978051007588e-03
6.200000000000000000e+01	3.361714321023546743e-03	3.320822507359798888e-03	3.283377148003216971e-03	3.248904856545018014e-03	3.216573937720342696e-03	3.186163413462163481e-03	3.157293677760348097e-03	3.130248090787679429e-03	3.104179678714798652e-03	3.079496626192460874e-03	3.056140205952862995e-03	3.033570765132688734e-03	3.011598029743922048e-03
6.100000000000000000e+01	3.501967787155101878e-03	3.459797348923298807e-03	3.421555289992488525e-03	3.385635660918416036e-03	3.352127062410984251e-03	3.320542638440543166e-03	3.290976756646601855e-03	3.262656739300436905e-03	3.236225469570648550e-03	3.210645062552870688e-03	3.186415118186292084e-03	3.162676878809690933e-03	3.140560580088818266e-03
6.000000000000000000e+01	3.646988498599380846e-03	3.603378261677996075e-03	3.563524682573710866e-03	3.526254080995775125e-03	3.491726214361323081e-03	3.459219068462148199e-03	3.428807041139280212e-03	3.399470185804455077e-03	3.372078981435410513e-03	3.345511872955108171e-03	3.320442143829251732e-03	3.296295676775102407e-03	3.273306326417375466e-03
5.900000000000000000e+01	3.791683221612552647e-03	3.746756601020588724e-03	3.705605714894971182e-03	3.667432558978380927e-03	3.631669951553951215e-03	3.598246440141056237e-03	3.566488420251717143e-03	3.536508767835865041e-03	3.508197809942787543e-03	3.481121149833850837e-03	3.454755764950292671e-03	3.429978009658869818e-03	3.406028375104933406e-03
5.800000000000000000e+01	3.941499782935616730e-03	3.895371646616630802e-03	3.852710365724330670e-03	3.813379100550052213e-03	3.776585935202487337e-03	3.742043032995400701e-03	3.709354076900523052e-03	3.678396456665015708e-03	3.648995722253193814e-03	3.620877072810579824e-03	3.594412257805529483e-03	3.568406465548225066e-03	3.543484310153636237e-03
5.700000000000000000e+01	4.086944440664233742e-03	4.039180069293050318e-03	3.995405501369244348e-03	3.954867150415664230e-03	3.916748482428376171e-03	3.881223246896337194e-03	3.848042926293634980e-03	3.815827794021923666e-03	3.785558764056560707e-03	3.756739639369704141e-03	3.728989173174514487e-03	3.702376811100334311e-03	3.677139278777969734e-03
5.600000000000000000e+01	4.231394050664503276e-03	4.182844724845810776e-03	4.137683478020064143e-03	4.095949428451711380e-03	4.057243429952881765e-03	4.020462544865100775e-03	3.985599561306283831e-03	3.953152722248456062e-03	3.922287909300517690e-03	3.892214096374742565e-03	3.863935848579143351e-03	3.836760801348652189e-03	3.810239925478079576e-03
5.500000000000000000e+01	4.376594843850747235e-03	4.326155266360152615e-03	4.280185388163444682e-03	4.237406507064114640e-03	4.197029473357583723e-03	4.159398169028044080e-03	4.123883409551849961e-03	4.089841236988739706e-03	4.058230359970438350e-03	4.027745357938092470e-03	3.998596847147661143e-03	3.970748608324191006e-03	3.943819834058343542e-03
5.400000000000000000e+01	4.520885994160389956e-03	4.469406256883677077e-03	4.421860808388813902e-03	4.377767915870490849e-03	4.336832100282361942e-03	4.297962577398148180e-03	4.261607146196515553e-03	4.226910353453935780e-03	4.194220189093077374e-03	4.163018860777454623e-03	4.133147432771047507e-03	4.104129470049378524e-03	4.076689989696687111e-03
5.300000000000000000e+01	4.664635377897374292e-03	4.612178713238895660e-03	4.563461437410360096e-03	4.518105537432813221e-03	4.476051654690540484e-03	4.436055234481719144e-03	4.398953450813055874e-03	4.363485878522067006e-03	4.329621451391938228e-03	4.297717660041780290e-03	4.267249711165961926e-03	4.237485175895616685e-03	4.209311324915564374e-03
5.200000000000000000e+01	4.808188457172954573e-03	4.754342819440191860e-03	4.704044835862417583e-03	4.658042444148024173e-03	4.615021194709199685e-03	4.574117702260174431e-03	4.535557571352495654e-03	4.499359738251452676e-03	4.464985905748309995e-03	4.431890597106981876e-03	4.400382757821685170e-03	4.370109856687647530e-03	4.341173826377730388e-03
5.100000000000000000e+01	4.950783805414784612e-03	4.895449287759113914e-03	4.844655652750826276e-03	4.797151589443649639e-03	4.752918758522978876e-03	4.711397813094788528e-03	4.672145128965240340e-03	4.634818296103224156e-03	4.599353053688522847e-03	4.565599919967884904e-03	4.533373473097829405e-03	4.502532591321214278e-03	4.472782292487994561e-03
5.000000000000000000e+01	5.092989275035261082e-03	5.035891378448705338e-03	4.983887232567686676e-03	4.935470544904950983e-03	4.890381354285766591e-03	4.847943270960317075e-03	4.807327792801068846e-03	4.769464685667036338e-03	4.733601961801650083e-03	4.698602309015866355e-03	4.665503386658286650e-03	4.634153008422303884e-03	4.603870530238939919e-03
