SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
7.000000000000000000e+01	2.014985229259233946e-03	1.985101671127134735e-03	1.958197143470038429e-03	1.933524385919620529e-03	1.910936946986782842e-03	1.889810918903055007e-03	1.870176292651516605e-03	1.851750910059060326e-03	1.834259102459818601e-03	1.817732048781904803e-03	1.801949622733560854e-03
6.900000000000000000e+01	2.157329451876278947e-03	2.125830666677361747e-03	2.097405146791585500e-03	2.071511517566878083e-03	2.047435474235013465e-03	2.025269897754478944e-03	2.004472315705646719e-03	1.984894683015839701e-03	1.966425666791097541e-03	1.948923533904825273e-03	1.932309129761601747e-03
6.800000000000000000e+01	2.301703887583977665e-03	2.268493451091707289e-03	2.238384095253434427e-03	2.211053914868139295e-03	2.185803412085770940e-03	2.162450418471956095e-03	2.140487522891394191e-03	2.119840999779313163e-03	2.100417182064664816e-03	2.081979518653042684e-03	2.064321337083808387e-03
6.700000000000000000e+01	2.447460518836939818e-03	2.412501538791502788e-03	2.380993535251702421e-03	2.352226995043971060e-03	2.325718051851789411e-03	2.301054558533182238e-03	2.278059134288733158e-03	2.256374269796024724e-03	2.235832131810806291e-03	2.216474959597226728e-03	2.197952145429383358e-03
6.600000000000000000e+01	2.594497264525570581e-03	2.557798264065689903e-03	2.524867807319598409e-03	2.494659285553625216e-03	2.466864381569319579e-03	2.441029623903353835e-03	2.416826959298521219e-03	2.394016768063803643e-03	2.372638691099358127e-03	2.352303235905444517e-03	2.332902531386206717e-03
6.500000000000000000e+01	2.742552843252502211e-03	2.704165788699426642e-03	2.669610449973604163e-03	2.638003456234404732e-03	2.608945857696998161e-03	2.581871013131716974e-03	2.556624288623317916e-03	2.532812961682195853e-03	2.510388504049732190e-03	2.489141408010464660e-03	2.468772898806892782e-03
6.400000000000000000e+01	2.891148107446631955e-03	2.851171930332230091e-03	2.815099733777828156e-03	2.782110699510280828e-03	2.751763370800123197e-03	2.723559463568980907e-03	2.697111448738874918e-03	2.672350044262341608e-03	2.648880439368782834e-03	2.626686440517157078e-03	2.605504670501889060e-03
6.300000000000000000e+01	3.040290656632866316e-03	2.998596052753591933e-03	2.961072131397015587e-03	2.926717092910524447e-03	2.895071739431688117e-03	2.865647022643139780e-03	2.838198959638045787e-03	2.812363048475488830e-03	2.787859764920706373e-03	2.764653829115962681e-03	2.742672308692793368e-03
6.200000000000000000e+01	3.189757944242299463e-03	3.146424408617285503e-03	3.107295616167171908e-03	3.071608207130570485e-03	3.038696355407334224e-03	3.008057375020562960e-03	2.979441485695280643e-03	2.952605927653737753e-03	2.927093444475502813e-03	2.902999257380630988e-03	2.880159578385063559e-03
6.100000000000000000e+01	3.335514002369990415e-03	3.290506574359161260e-03	3.250004924000150612e-03	3.212974781909034433e-03	3.178933196956436075e-03	3.147099581283253726e-03	3.117537168025907943e-03	3.089653515133110144e-03	3.063213834816386118e-03	3.038153503486387599e-03	3.014438153646415829e-03
6.000000000000000000e+01	3.484614313382191318e-03	3.437984770013022794e-03	3.396035629231919113e-03	3.357690255035879114e-03	3.322200642685970394e-03	3.289381856999903844e-03	3.258665556062750965e-03	3.229773782383012128e-03	3.202325479056412384e-03	3.176495913390310968e-03	3.151857409763527892e-03
