SZA\Ozone_column_DU	150DU	175DU	200DU	225DU	250DU	275DU	300DU	325DU	350DU	375DU	400DU	
6.400000000000000000e+01	1.097022303533481459e-04	9.593068922561944596e-05	8.539571509339974201e-05	7.705274749875680126e-05	7.027225388829159633e-05	6.464398205002765358e-05	5.989174276258425311e-05	5.582648537007047396e-05	5.230218532709798250e-05	4.922010796770903235e-05	4.649638924128102213e-05
6.300000000000000000e+01	1.181560900053967565e-04	1.033227240256415626e-04	9.197909584788271236e-05	8.299543118211112115e-05	7.569787985577878771e-05	6.963408685067952540e-05	6.451764042308346682e-05	6.014123330845225500e-05	5.634464564171283066e-05	5.302041968692786724e-05	5.008881515310084772e-05
6.200000000000000000e+01	1.268771359979442548e-04	1.109507427995446376e-04	9.877122259621024284e-05	8.912378250109318498e-05	8.128144448856120202e-05	7.477702950642240354e-05	6.928513503623749334e-05	6.458243893766392506e-05	6.050882217937271062e-05	5.694046504051316471e-05	5.379503893852086719e-05
6.100000000000000000e+01	1.356391747830096870e-04	1.186014956271588599e-04	1.055818484845711275e-04	9.527359183440490989e-05	8.689874599183386493e-05	7.994133912980351639e-05	7.407437736913889020e-05	6.904651575033819157e-05	6.469135222878302717e-05	6.087766036805960585e-05	5.751595848206034298e-05
6.000000000000000000e+01	1.448224670607624516e-04	1.266261074629756284e-04	1.127221760785163736e-04	1.017174863839395959e-04	9.277389938236852123e-05	8.535061073856032546e-05	7.908388057717529297e-05	7.372050865478271462e-05	6.907089915573080233e-05	6.500259998862041729e-05	6.140792829098198251e-05
5.900000000000000000e+01	1.542230050545936697e-04	1.348221630863229473e-04	1.200188145767571498e-04	1.082992920739931660e-04	9.878766763006290236e-05	9.090883061576147841e-05	8.421683057235356440e-05	7.850143059138295625e-05	7.354508590192137402e-05	6.921410246796485014e-05	6.539481092492340701e-05
5.800000000000000000e+01	1.642363758066549512e-04	1.435734098088636585e-04	1.277987593843007605e-04	1.153273381500625864e-04	1.051839465085888716e-04	9.676877202062042515e-05	8.967060282038105603e-05	8.358523926469533009e-05	7.831455396997127742e-05	7.370287591000536809e-05	6.962811384624660311e-05
5.700000000000000000e+01	1.741072438626284466e-04	1.521959748414809105e-04	1.354749695886249485e-04	1.222492893753357067e-04	1.115011244988007156e-04	1.025723261919683267e-04	9.504502417870859131e-05	8.860129056437644768e-05	8.301499408657229745e-05	7.812582271751850288e-05	7.380854043969914575e-05
5.600000000000000000e+01	1.841736800118781465e-04	1.609842404076744016e-04	1.432891816140826626e-04	1.292978756817921666e-04	1.179266595019842285e-04	1.084975243356442134e-04	1.005291954275651617e-04	9.370948729471494858e-05	8.780018347186814348e-05	8.263108904031208582e-05	7.806282808327546553e-05
5.500000000000000000e+01	1.944254821775066584e-04	1.699239006701861300e-04	1.512407927128417884e-04	1.364569923922940426e-04	1.244697618715100975e-04	1.145031513594933369e-04	1.061028501902144756e-04	9.890217494859209466e-05	9.267116833781067185e-05	8.720659565680209939e-05	8.238944701221321513e-05
5.400000000000000000e+01	2.048337285616951811e-04	1.790043859441350178e-04	1.593155413741671094e-04	1.437368224006267052e-04	1.311014570221709797e-04	1.206082969997872799e-04	1.117561076567851982e-04	1.041695306803927079e-04	9.760461106026505995e-05	9.185032228965894622e-05	8.677634703024885419e-05
5.300000000000000000e+01	2.153778512168844626e-04	1.882100571563149344e-04	1.674857940249189624e-04	1.511135283271162425e-04	1.378182115995131942e-04	1.267921709788808490e-04	1.174749517001765316e-04	1.095111216476420081e-04	1.026047924070953664e-04	9.656627892901972993e-05	9.122683012768174730e-05
5.200000000000000000e+01	2.260593992087458657e-04	1.975185309219845329e-04	1.757492316597669994e-04	1.585725942542411376e-04	1.446190805858268492e-04	1.330456267171655339e-04	1.232745638392350527e-04	1.149149613768447685e-04	1.076705611261076598e-04	1.013222958440983680e-04	9.572296010870503928e-05
5.100000000000000000e+01	2.368814817966492727e-04	2.069257347579915118e-04	1.841248064605760005e-04	1.661066492995513387e-04	1.514931984471707999e-04	1.393681634862736025e-04	1.291289902191127621e-04	1.203690865814301890e-04	1.127752145587654657e-04	1.061356476897966789e-04	1.002654663564912693e-04
5.000000000000000000e+01	2.477956915829733790e-04	2.164239762894579525e-04	1.925698203863923023e-04	1.737089077291022090e-04	1.584268979041210954e-04	1.457352710886190546e-04	1.350366698302428935e-04	1.258682142321100876e-04	1.179337236649183242e-04	1.109844057430751853e-04	1.048507109258227420e-04
