SZA\Ozone_column_DU	0025DU	0050DU	0075DU	0100DU	0125DU	0150DU	0175DU	0200DU	0225DU	0250DU	0275DU	0300DU	0325DU	0350DU	0375DU	0400DU	0425DU	0450DU	0475DU	0500DU	0750DU	1000DU	1500DU	2000DU	3000DU	
7.000000000000000000e+01	3.804890143799999260e-04	2.155072128955000388e-04	1.555233956808349885e-04	1.234368349444890515e-04	1.029439630955779724e-04	8.849076572836203972e-05	7.769627426480996927e-05	6.928361904076659849e-05	6.248457108373598520e-05	5.694566159558599162e-05	5.228042049728798464e-05	4.834829095247801062e-05	4.496873943104098776e-05	4.201650649387999833e-05	3.944930718161401579e-05	3.719313348299500350e-05	3.518096516908140168e-05	3.336572133166199364e-05	3.173915975444338664e-05	3.027343034302251178e-05	2.079717120875800753e-05	1.589880891574379867e-05	1.081474410354800107e-05	8.169312441718599454e-06	5.430592617550700954e-06
6.900000000000000000e+01	4.179909949900000336e-04	2.364730159813000616e-04	1.705698097638899474e-04	1.353121513224749852e-04	1.128904752715210167e-04	9.711207386283796637e-05	8.528033803786904191e-05	7.605705404363082445e-05	6.865400686475199566e-05	6.255039049832798476e-05	5.746314065115999160e-05	5.313824197517899421e-05	4.942556638163899893e-05	4.619980742056201275e-05	4.338519638293499128e-05	4.088468343157149122e-05	3.866300554078079836e-05	3.668317053438099689e-05	3.489649012570629591e-05	3.328314536961289908e-05	2.285810244765000020e-05	1.747446352439899781e-05	1.189026996380339709e-05	8.988772787316698723e-06	5.980827742094502224e-06
6.800000000000000000e+01	4.564688697199998702e-04	2.579532551547000503e-04	1.859108955735129325e-04	1.474949263601159973e-04	1.230656765274899551e-04	1.058957771110719865e-04	9.304043097219199230e-05	8.300864371554759699e-05	7.496420839828595560e-05	6.832685582308401385e-05	6.277297851898601454e-05	5.804201055180699788e-05	5.400186785648500672e-05	5.048431572889500711e-05	4.739759356596000793e-05	4.467794593747752383e-05	4.225184535785699762e-05	4.008259767756899660e-05	3.813461110225449757e-05	3.636278778651259359e-05	2.496454962344299709e-05	1.908614242028220198e-05	1.299319204327039960e-05	9.827482496087902922e-06	6.547742984918700482e-06
6.700000000000000000e+01	4.961862419200000060e-04	2.801540596935000495e-04	2.016981197154501105e-04	1.600055158073259798e-04	1.335414875335080181e-04	1.149124892797329811e-04	1.010433208050009871e-04	9.016649245946780744e-05	8.145812287645898579e-05	7.424900573663997718e-05	6.825287177537998982e-05	6.311574928889401403e-05	5.872446445011797510e-05	5.489949463261898640e-05	5.155847350211200070e-05	4.858539571871201316e-05	4.596463557403798858e-05	4.359205370319399009e-05	4.148048189299048677e-05	3.955363643153029846e-05	2.714117472825399393e-05	2.074720281617119575e-05	1.413305445216599707e-05	1.068952809148040177e-05	7.130346654674800853e-06
6.600000000000000000e+01	5.364972438500001254e-04	3.026542968892999481e-04	2.177829921092500824e-04	1.727315353645209951e-04	1.441602146016249383e-04	1.241171297906949874e-04	1.091390892439140164e-04	9.745257465549297851e-05	8.804975594110900925e-05	8.030786902776199869e-05	7.381870091773398625e-05	6.830151077215198608e-05	6.354691479649497514e-05	5.941840823360598333e-05	5.579650339457198398e-05	5.259197724708400781e-05	4.974188095452100562e-05	4.718955031513000507e-05	4.489198921550400595e-05	4.281156224190408986e-05	2.937580786984799993e-05	2.245327984706259667e-05	1.529800486698960508e-05	1.158175136250809968e-05	7.731728836568399780e-06
6.500000000000000000e+01	5.794612543699996466e-04	3.264942001035000489e-04	2.347045469765400647e-04	1.860686300708309937e-04	1.552901398750610362e-04	1.337222530638230078e-04	1.176163822050579877e-04	1.050513934983259858e-04	9.493427935821300418e-05	8.660683988053198795e-05	7.962506455961202117e-05	7.368168918753798652e-05	6.856357128638001933e-05	6.411226903668198281e-05	6.020989630020000635e-05	5.675548445026599623e-05	5.367921628159299613e-05	5.092696880453498809e-05	4.844313298616550643e-05	4.620080358057719339e-05	3.168575114889301007e-05	2.421499558270279816e-05	1.650173535535980217e-05	1.249596489675159776e-05	8.348232319559496594e-06
6.400000000000000000e+01	6.227663611600000931e-04	3.506033826473000802e-04	2.517908737931301368e-04	1.995629658727580470e-04	1.665364095064029418e-04	1.434336707334169620e-04	1.261917835061370299e-04	1.127436673229859743e-04	1.019194562474049935e-04	9.299618103598199736e-05	8.551858557996200587e-05	7.915390145455300486e-05	7.366673885353801246e-05	6.889369016189701223e-05	6.469961622249098803e-05	6.098932927782049968e-05	5.768866618542898585e-05	5.472583052247600961e-05	5.206229227655949230e-05	4.964833753010090438e-05	3.404146597479800130e-05	2.601276640699600370e-05	1.772721145494659883e-05	1.343058453241879596e-05	8.979669358945498614e-06
6.300000000000000000e+01	6.670603512700002020e-04	3.752957041634999067e-04	2.692683280973699896e-04	2.133334124545549514e-04	1.780229220807190275e-04	1.533430092915680156e-04	1.349375065669900008e-04	1.205850736258810249e-04	1.090428775588570069e-04	9.951727929622600146e-05	9.153602755166397942e-05	8.473514599741499814e-05	7.887011789737706415e-05	7.376849920484998600e-05	6.928528174464200560e-05	6.531803347459996410e-05	6.178298445588550306e-05	5.861490952610899386e-05	5.575965222422649012e-05	5.317410870854660256e-05	3.645073566073999256e-05	2.784650467644719923e-05	1.898053520961199563e-05	1.438312498801980109e-05	9.624214848858499843e-06
6.200000000000000000e+01	7.122768109099992737e-04	4.004942194220999468e-04	2.870949575125099807e-04	2.273691494004481195e-04	1.897151178198939732e-04	1.634208885429109918e-04	1.438425857881629679e-04	1.285673212595819835e-04	1.162874278303620322e-04	1.061636340861000258e-04	9.766540834567801193e-05	9.042288253929001629e-05	8.418118006243101564e-05	7.874372808871001083e-05	7.396106882441499052e-05	6.973282460804900123e-05	6.595777817214253341e-05	6.258158002575199975e-05	5.953339800014651243e-05	5.677191528263498453e-05	3.890769662468998607e-05	2.971773473797159867e-05	2.025765658178899846e-05	1.535671043945619599e-05	1.028234199434350011e-05
6.100000000000000000e+01	7.583733711200000855e-04	4.261899093940000401e-04	3.052414510917201705e-04	2.416230823403340145e-04	2.015925553571469651e-04	1.736726007270600152e-04	1.528740404397970734e-04	1.366878576166659441e-04	1.236567685949880116e-04	1.129135157669979798e-04	1.038910175648120302e-04	9.621282603122003447e-05	8.957838360948199095e-05	8.380010594719898890e-05	7.873003907133298816e-05	7.422473948561099637e-05	7.021958475245900541e-05	6.662308022792750738e-05	6.337771426479700695e-05	6.043723185732400059e-05	4.140931924456700303e-05	3.162421570888539950e-05	2.155786482739600006e-05	1.634602305597440230e-05	1.095171642445650160e-05
